Begin Time (s)	End Time (s)	Begin File	File Offset (s)	Begin Path	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	comment	selec.file	duration	indx.row	ovlp.sels
0.382115506	0.422642908	LAGCHIMU_20190709_200000_5min_cut.wav	0.382115506	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	64	Spectrogram 1	1	2096.612	2259.025	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.040527402	NA	NA
10.6767	10.758577717	LAGCHIMU_20190709_200000_5min_cut.wav	10.6767	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	1	Spectrogram 1	1	2135.191	2378.319	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0818777169999994	NA	NA
12.7017	12.773343002	LAGCHIMU_20190709_200000_5min_cut.wav	12.7017	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	2	Spectrogram 1	1	2214.629	2366.283	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0716430020000001	NA	NA
15.581025688	15.615763462	LAGCHIMU_20190709_200000_5min_cut.wav	15.581025688	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	65	Spectrogram 1	1	2199.966	2421.439	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0347377739999999	NA	NA
18.692436907	18.738753938	LAGCHIMU_20190709_200000_5min_cut.wav	18.692436907	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	66	Spectrogram 1	1	2128.988	2629.926	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0463170309999974	NA	NA
19.882205642	19.925627859	LAGCHIMU_20190709_200000_5min_cut.wav	19.882205642	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	67	Spectrogram 1	1	2028.964	2308.117	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0434222169999998	NA	NA
23.482516997	23.5433081	LAGCHIMU_20190709_200000_5min_cut.wav	23.482516997	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	68	Spectrogram 1	1	2096.612	2318.085	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0607911029999997	NA	NA
26.9084	26.963667459	LAGCHIMU_20190709_200000_5min_cut.wav	26.9084	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	3	Spectrogram 1	1	1999.843	2349.595	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0552674589999995	NA	NA
27.2093	27.25842663	LAGCHIMU_20190709_200000_5min_cut.wav	27.2093	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	4	Spectrogram 1	1	2124.735	2340.349	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0491266299999999	NA	NA
31.185968024	31.235179869	LAGCHIMU_20190709_200000_5min_cut.wav	31.185968024	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	69	Spectrogram 1	1	2347.615	2495.263	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0492118449999985	NA	NA
