"site_date_hour","call_rate","n_call","rec_time","hour","month","year","site"
"LAGCHIMU_20190709_170000",0,0,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190709_180000",0,0,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190709_190000",9.66666666666667,29,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190709_200000",24.6666666666667,74,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190709_210000",30,90,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190709_220000",18.3333333333333,55,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190709_230000",28,84,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190710_000000",5.33333333333333,16,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190710_010000",2.33333333333333,7,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190710_020000",2.66666666666667,8,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190710_030000",2,6,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190710_040000",0.333333333333333,1,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190710_170000",0,0,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190710_180000",1.33333333333333,4,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190710_190000",27.3333333333333,82,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190710_200000",19,57,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190710_210000",43.3333333333333,130,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190710_220000",25.3333333333333,76,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190710_230000",17.3333333333333,52,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190711_000000",13,39,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190711_010000",8.66666666666667,26,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190711_020000",5.33333333333333,16,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190711_030000",2,6,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190711_040000",8.66666666666667,26,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190711_170000",0.333333333333333,1,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190711_180000",1,3,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190711_190000",26.3333333333333,79,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190711_200000",24.6666666666667,74,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190711_210000",12.6666666666667,38,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190711_220000",28.6666666666667,86,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190711_230000",2.66666666666667,8,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190712_000000",2.33333333333333,7,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190712_010000",16.3333333333333,49,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190712_020000",8,24,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190712_030000",4,12,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190712_040000",1.33333333333333,4,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190712_170000",0,0,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190712_180000",1,3,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190712_190000",16.3333333333333,49,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190712_200000",23.3333333333333,70,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190712_210000",19.3333333333333,58,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190712_220000",6.66666666666667,20,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190712_230000",3,9,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190713_000000",6,18,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190713_010000",4.33333333333333,13,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190713_020000",4.33333333333333,13,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190713_030000",6,18,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190713_040000",4.66666666666667,14,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190713_170000",34.3333333333333,103,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190713_180000",12.3333333333333,37,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190713_190000",18,54,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190713_200000",22,66,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190713_210000",19.6666666666667,59,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190713_220000",17,51,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190713_230000",6,18,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190714_000000",3,9,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190714_010000",2,6,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190714_020000",3,9,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190714_030000",5.33333333333333,16,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190714_040000",5.66666666666667,17,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190714_170000",0,0,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190714_180000",3,9,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190714_190000",2,6,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190714_200000",1,3,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190714_210000",0,0,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190714_220000",0,0,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190714_230000",0.333333333333333,1,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190715_000000",15,45,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190715_010000",8.33333333333333,25,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190715_020000",5.66666666666667,17,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190715_030000",8.66666666666667,26,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190715_040000",1.33333333333333,4,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190715_170000",0,0,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190715_180000",1.66666666666667,5,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190715_190000",32.3333333333333,97,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190715_200000",25,75,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190715_210000",16.6666666666667,50,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190715_220000",3.33333333333333,10,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190715_230000",24,72,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190716_000000",7.33333333333333,22,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190716_010000",1,3,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190716_020000",0.333333333333333,1,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190716_030000",3.33333333333333,10,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190716_040000",1,3,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190716_170000",3.33333333333333,10,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190716_180000",0,0,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190716_190000",9.66666666666667,29,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190716_200000",22.6666666666667,68,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190716_210000",9.33333333333333,28,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190716_220000",5,15,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190716_230000",4.66666666666667,14,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190717_000000",2.33333333333333,7,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190717_010000",0.666666666666667,2,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190717_020000",7.33333333333333,22,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190717_030000",1.33333333333333,4,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190717_040000",8.33333333333333,25,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190717_170000",0,0,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190717_180000",0.666666666666667,2,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190717_190000",8.66666666666667,26,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190717_200000",14.6666666666667,44,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190717_210000",10,30,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190717_220000",7,21,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190717_230000",7,21,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190718_000000",7.66666666666667,23,20,0,7,2019,"LAGCHIMU"
