"site","month","year"
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",8,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
"LAGCHIMU",9,2019
