"","site_date_hour","call_rate","n_call","rec_time","hour","month","year","site","date_hour","temp","HR","rain","day","date","moon.date","moonlight","date_hour_min","hour_diff","rain_24","rain_48","prev_temp"
"5129","SUKIA_20190826_180000",6,18,20,18,8,2019,"SUKIA","20190826-18",27.7683333333333,76.1566666666667,0,26,2019-08-26,2019-08-27,0.117108745008528,2019-08-26 18:00:00,0,5.14333333333333,0.828333333333333,25.0062666666667
"5130","SUKIA_20190826_190000",75.6666666666667,227,20,19,8,2019,"SUKIA","20190826-19",27.72,76.0866666666667,0,26,2019-08-26,2019-08-27,0.117108745008528,2019-08-26 19:00:00,1,5.14333333333333,0.828333333333333,24.8084666666667
"5131","SUKIA_20190826_200000",133,399,20,20,8,2019,"SUKIA","20190826-20",28.385,75.4866666666667,0,26,2019-08-26,2019-08-27,0.117108745008528,2019-08-26 20:00:00,2,5.14333333333333,0.828333333333333,24.5477333333333
"5132","SUKIA_20190826_210000",115,345,20,21,8,2019,"SUKIA","20190826-21",27.1016666666667,81.2716666666667,0,26,2019-08-26,2019-08-27,0.117108745008528,2019-08-26 21:00:00,3,5.14333333333333,0.828333333333333,24.3086666666667
"5133","SUKIA_20190826_220000",84,252,20,22,8,2019,"SUKIA","20190826-22",25.19,90.4,0,26,2019-08-26,2019-08-27,0.117108745008528,2019-08-26 22:00:00,4,5.14333333333333,0.828333333333333,24.0798
"5134","SUKIA_20190826_230000",76.6666666666667,230,20,23,8,2019,"SUKIA","20190826-23",24.5816666666667,92.7866666666667,0,26,2019-08-26,2019-08-27,0.117108745008528,2019-08-26 23:00:00,5,5.14333333333333,0.828333333333333,23.8972
"5135","SUKIA_20190827_000000",39.6666666666667,119,20,0,8,2019,"SUKIA","20190827-0",23.7316666666667,95.7866666666667,0,27,2019-08-27,2019-08-27,0.117108745008528,2019-08-27,6,0,5.14333333333333,23.8104
"5136","SUKIA_20190827_010000",5.66666666666667,17,20,1,8,2019,"SUKIA","20190827-1",23.3783333333333,96.7833333333333,0,27,2019-08-27,2019-08-27,0.117108745008528,2019-08-27 01:00:00,7,0,5.14333333333333,23.8012666666667
"5137","SUKIA_20190827_020000",0.666666666666667,2,20,2,8,2019,"SUKIA","20190827-2",23.2916666666667,97.6583333333333,0,27,2019-08-27,2019-08-27,0.117108745008528,2019-08-27 02:00:00,8,0,5.14333333333333,23.8070666666667
"5138","SUKIA_20190827_030000",15,45,20,3,8,2019,"SUKIA","20190827-3",23.0333333333333,96.3166666666667,0,27,2019-08-27,2019-08-27,0.117108745008528,2019-08-27 03:00:00,9,0,5.14333333333333,23.8283333333333
"5139","SUKIA_20190827_040000",3.66666666666667,11,20,4,8,2019,"SUKIA","20190827-4",23.09,92.32,0,27,2019-08-27,2019-08-27,0.117108745008528,2019-08-27 04:00:00,10,0,5.14333333333333,23.8721333333333
"5141","SUKIA_20190827_180000",8.33333333333333,25,20,18,8,2019,"SUKIA","20190827-18",28.7983333333333,71.175,0,27,2019-08-27,2019-08-28,0.0578422371543598,2019-08-27 18:00:00,24,0,5.14333333333333,24.2987333333333
"5142","SUKIA_20190827_190000",25.3333333333333,76,20,19,8,2019,"SUKIA","20190827-19",31.195,63.13,0,27,2019-08-27,2019-08-28,0.0578422371543598,2019-08-27 19:00:00,25,0,5.14333333333333,24.3678
