"sound.files","selec","start","end","template","scores","detection.class","reference.row","overlap","pred.class"
"LAGCHIMU_20190709_200000_5min_cut.wav",27,10.6499663341988,10.7077475271988,"mean.PC1-1",0.702447952626614,"true.positive","1",0.379193855622933,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",28,10.7717916251292,10.8295728181292,"mean.PC1-1",0.453201324294835,"false.positive",NA,NA,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",32,12.6792276088394,12.7370088018394,"mean.PC1-1",0.621670483586049,"true.positive (split)","2",0.492843695179729,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",64,15.5473430296008,15.6051242226008,"mean.PC1-1",0.536192635496608,"true.positive (split)","65",0.69372708224769,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",76,18.6625897548209,18.720370947821,"mean.PC1-1",0.463586309817548,"true.positive","66",0.60310516926176,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",80,19.8564776059388,19.9142587989388,"mean.PC1-1",0.445105701048056,"true.positive","67",0.73817412268119,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",84,23.4659869400766,23.5237681330766,"mean.PC1-1",0.440016705954246,"true.positive","68",0.678571929787392,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",86,27.1868793973507,27.2446605903507,"mean.PC1-1",0.540279632894701,"true.positive","4",0.719784572048704,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",89,31.1618646042797,31.2196457972797,"mean.PC1-1",0.768465647411391,"true.positive","69",0.684342830058565,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",107,39.9820156676404,40.0397968606405,"mean.PC1-1",0.518161960853568,"true.positive (split)","5",0.558543901238986,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",119,43.9744044875594,44.0321856805595,"mean.PC1-1",0.715539943053027,"true.positive","7",0.45643372121927,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",120,45.1160814997072,45.1738626927072,"mean.PC1-1",0.628363108041695,"true.positive","71",0.555259511444213,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",132,49.989093136923,50.0468743299231,"mean.PC1-1",0.757098525342374,"true.positive","72",0.832857253984724,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",137,51.1133665360807,51.1711477290807,"mean.PC1-1",0.478567826992263,"true.positive","9",0.499363088094789,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",152,59.6620212367966,59.7198024297966,"mean.PC1-1",0.479998159382051,"true.positive","11",0.403765350662335,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",174,79.8641351956544,79.9219163886545,"mean.PC1-1",0.462576273748439,"true.positive (split)","73",0.726350520574434,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",194,94.0411183373547,94.0988995303547,"mean.PC1-1",0.575923711391457,"true.positive","12",0.797164881180279,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",203,101.92495502185,101.98273621485,"mean.PC1-1",0.73076284126484,"true.positive","74",1.03397839289618,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",234,108.858554437089,108.916335630089,"mean.PC1-1",0.440277112043148,"true.positive","14",0.972613285813529,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",236,111.737112025644,111.794893218644,"mean.PC1-1",0.451241372233519,"true.positive","15",0.8031053120633,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",239,111.987724052701,112.045505245701,"mean.PC1-1",0.657283281916069,"true.positive","16",0.833867451112282,"true.positive"
"LAGCHIMU_20190709_200000_5min_cut.wav",240,112.081703562847,112.139484755848,"mean.PC1-1",0.453771091072497,"false.positive",NA,NA,"true.positive"
