"sound.files","count","site","date","year","month","day","time","hour"
"LAGCHIMU_20190709_200000_5min_cut.wav",76,"LAGCHIMU","20190709",2019,7,9,"200000",20
"LAGCHIMU_20190713_000000_5min_cut.wav",12,"LAGCHIMU","20190713",2019,7,13,"000000",0
"LAGCHIMU_20190714_000000_5min_cut.wav",35,"LAGCHIMU","20190714",2019,7,14,"000000",0
"LAGCHIMU_20190715_040000_5min_cut.wav",32,"LAGCHIMU","20190715",2019,7,15,"040000",4
"LAGCHIMU_20190716_020000_5min_cut.wav",3,"LAGCHIMU","20190716",2019,7,16,"020000",2
"LAGCHIMU_20190718_030000_5min_cut.wav",4,"LAGCHIMU","20190718",2019,7,18,"030000",3
"LAGCHIMU_20190719_200000_5min_cut.wav",60,"LAGCHIMU","20190719",2019,7,19,"200000",20
"LAGCHIMU_20190720_210000_5min_cut.wav",21,"LAGCHIMU","20190720",2019,7,20,"210000",21
"LAGCHIMU_20190724_000000_5min_cut.wav",27,"LAGCHIMU","20190724",2019,7,24,"000000",0
"LAGCHIMU_20190724_210000_5min_cut.wav",31,"LAGCHIMU","20190724",2019,7,24,"210000",21
"LAGCHIMU_20190725_190000_5min_cut.wav",12,"LAGCHIMU","20190725",2019,7,25,"190000",19
"LAGCHIMU_20190726_230000_5min_cut.wav",15,"LAGCHIMU","20190726",2019,7,26,"230000",23
"LAGCHIMU_20190728_040000_5min_cut.wav",14,"LAGCHIMU","20190728",2019,7,28,"040000",4
"LAGCHIMU_20190729_220000_5min_cut.wav",36,"LAGCHIMU","20190729",2019,7,29,"220000",22
"LAGCHIMU_20190730_220000_5min_cut.wav",22,"LAGCHIMU","20190730",2019,7,30,"220000",22
"LAGCHIMU_20190731_220000_5min_cut.wav",31,"LAGCHIMU","20190731",2019,7,31,"220000",22
"LAGCHIMU_20190801_040000_5min_cut.wav",49,"LAGCHIMU","20190801",2019,8,1,"040000",4
"LAGCHIMU_20190802_230000_5min_cut.wav",36,"LAGCHIMU","20190802",2019,8,2,"230000",23
"LAGCHIMU_20190804_040000_5min_cut.wav",7,"LAGCHIMU","20190804",2019,8,4,"040000",4
"LAGCHIMU_20190806_010000_5min_cut.wav",26,"LAGCHIMU","20190806",2019,8,6,"010000",1
"LAGCHIMU_20190807_220000_5min_cut.wav",63,"LAGCHIMU","20190807",2019,8,7,"220000",22
"LAGCHIMU_20190809_000000_5min_cut.wav",17,"LAGCHIMU","20190809",2019,8,9,"000000",0
"LAGCHIMU_20190809_020000_5min_cut.wav",28,"LAGCHIMU","20190809",2019,8,9,"020000",2
"LAGCHIMU_20190809_220000_5min_cut.wav",34,"LAGCHIMU","20190809",2019,8,9,"220000",22
"LAGCHIMU_20190812_190000_5min_cut.wav",14,"LAGCHIMU","20190812",2019,8,12,"190000",19
"LAGCHIMU_20190909_190000_5min_cut.wav",14,"LAGCHIMU","20190909",2019,9,9,"190000",19
"LAGCHIMU_20190909_210000_5min_cut.wav",37,"LAGCHIMU","20190909",2019,9,9,"210000",21
"LAGCHIMU_20190909_220000_5min_cut.wav",46,"LAGCHIMU","20190909",2019,9,9,"220000",22
"LAGCHIMU_20190909_230000_5min_cut.wav",16,"LAGCHIMU","20190909",2019,9,9,"230000",23
"LAGCHIMU_20190910_010000_5min_cut.wav",2,"LAGCHIMU","20190910",2019,9,10,"010000",1
"LAGCHIMU_20190910_020000_5min_cut.wav",3,"LAGCHIMU","20190910",2019,9,10,"020000",2
"LAGCHIMU_20190910_030000_5min_cut.wav",8,"LAGCHIMU","20190910",2019,9,10,"030000",3
"LAGCHIMU_20190910_200000_5min_cut.wav",31,"LAGCHIMU","20190910",2019,9,10,"200000",20
"LAGCHIMU_20190913_190000_5min_cut.wav",34,"LAGCHIMU","20190913",2019,9,13,"190000",19
"LAGCHIMU_20190914_200000_5min_cut.wav",9,"LAGCHIMU","20190914",2019,9,14,"200000",20
"LAGCHIMU_20190916_030000_5min_cut.wav",5,"LAGCHIMU","20190916",2019,9,16,"030000",3
"LAGCHIMU_20190917_010000_5min_cut.wav",2,"LAGCHIMU","20190917",2019,9,17,"010000",1
"LAGCHIMU_20190920_020000_5min_cut.wav",35,"LAGCHIMU","20190920",2019,9,20,"020000",2
"LAGCHIMU_20190920_230000_5min_cut.wav",10,"LAGCHIMU","20190920",2019,9,20,"230000",23
"LAGCHIMU_20190921_000000_5min_cut.wav",1,"LAGCHIMU","20190921",2019,9,21,"000000",0
"LAGCHIMU_20190924_020000_5min_cut.wav",7,"LAGCHIMU","20190924",2019,9,24,"020000",2
"LAGCHIMU_20191107_030000_5min_cut.wav",2,"LAGCHIMU","20191107",2019,11,7,"030000",3
"LAGCHIMU_20191108_210000_5min_cut.wav",24,"LAGCHIMU","20191108",2019,11,8,"210000",21
"LAGCHIMU_20191108_230000_5min_cut.wav",2,"LAGCHIMU","20191108",2019,11,8,"230000",23
"LAGCHIMU_20191109_180000_5min_cut.wav",7,"LAGCHIMU","20191109",2019,11,9,"180000",18
"LAGCHIMU_20191110_200000_5min_cut.wav",4,"LAGCHIMU","20191110",2019,11,10,"200000",20
"LAGCHIMU_20191112_230000_5min_cut.wav",1,"LAGCHIMU","20191112",2019,11,12,"230000",23
"LAGCHIMU_20191113_010000_5min_cut.wav",2,"LAGCHIMU","20191113",2019,11,13,"010000",1
"LAGCHIMU_20191113_180000_5min_cut.wav",4,"LAGCHIMU","20191113",2019,11,13,"180000",18
"LAGCHIMU_20191117_200000_5min_cut.wav",7,"LAGCHIMU","20191117",2019,11,17,"200000",20
"LAGCHIMU_20191119_030000_5min_cut.wav",3,"LAGCHIMU","20191119",2019,11,19,"030000",3
"LAGCHIMU_20191120_180000_5min_cut.wav",5,"LAGCHIMU","20191120",2019,11,20,"180000",18
"LAGCHIMU_20191120_210000_5min_cut.wav",9,"LAGCHIMU","20191120",2019,11,20,"210000",21
"LAGCHIMU_20191125_180000_5min_cut.wav",12,"LAGCHIMU","20191125",2019,11,25,"180000",18
"LAGCHIMU_20191125_220000_5min_cut.wav",8,"LAGCHIMU","20191125",2019,11,25,"220000",22
"LAGCHIMU_20191125_230000_5min_cut.wav",4,"LAGCHIMU","20191125",2019,11,25,"230000",23
"LAGCHIMU_20191127_200000_5min_cut.wav",18,"LAGCHIMU","20191127",2019,11,27,"200000",20
"LAGCHIMU_20191128_230000_5min_cut.wav",1,"LAGCHIMU","20191128",2019,11,28,"230000",23
"LAGCHIMU_20191130_020000_5min_cut.wav",6,"LAGCHIMU","20191130",2019,11,30,"020000",2
"LAGCHIMU_20191130_210000_5min_cut.wav",13,"LAGCHIMU","20191130",2019,11,30,"210000",21
"LAGCHIMU_20191201_190000_5min_cut.wav",14,"LAGCHIMU","20191201",2019,12,1,"190000",19
"LAGCHIMU_20191203_220000_5min_cut.wav",7,"LAGCHIMU","20191203",2019,12,3,"220000",22
"LAGCHIMU_20191204_200000_5min_cut.wav",21,"LAGCHIMU","20191204",2019,12,4,"200000",20
"LAGCHIMU_20191205_190000_5min_cut.wav",5,"LAGCHIMU","20191205",2019,12,5,"190000",19
"LAGCHIMU_20191206_010000_5min_cut.wav",1,"LAGCHIMU","20191206",2019,12,6,"010000",1
"LAGCHIMU_20191207_190000_5min_cut.wav",8,"LAGCHIMU","20191207",2019,12,7,"190000",19
"LAGCHIMU_20191212_180000_5min_cut.wav",4,"LAGCHIMU","20191212",2019,12,12,"180000",18
"LAGCHIMU_20191213_220000_5min_cut.wav",1,"LAGCHIMU","20191213",2019,12,13,"220000",22
"LAGCHIMU_20191215_200000_5min_cut.wav",11,"LAGCHIMU","20191215",2019,12,15,"200000",20
"LAGCHIMU_20191216_000000_5min_cut.wav",2,"LAGCHIMU","20191216",2019,12,16,"000000",0
"LAGCHIMU_20191217_230000_5min_cut.wav",1,"LAGCHIMU","20191217",2019,12,17,"230000",23
"LAGCHIMU_20200114_020000_5min_cut.wav",2,"LAGCHIMU","20200114",2020,1,14,"020000",2
"LAGCHIMU_20200116_000000_5min_cut.wav",5,"LAGCHIMU","20200116",2020,1,16,"000000",0
"LAGCHIMU_20200119_230000_5min_cut.wav",3,"LAGCHIMU","20200119",2020,1,19,"230000",23
"LAGCHIMU_20200122_020000_5min_cut.wav",1,"LAGCHIMU","20200122",2020,1,22,"020000",2
"LAGCHIMU_20200222_220000_5min_cut.wav",1,"LAGCHIMU","20200222",2020,2,22,"220000",22
"LAGCHIMU_20200224_190000_5min_cut.wav",1,"LAGCHIMU","20200224",2020,2,24,"190000",19
"SUKIA_20190826_190000_5min_cut.wav",25,"SUKIA","20190826",2019,8,26,"190000",19
"SUKIA_20190826_210000_5min_cut.wav",49,"SUKIA","20190826",2019,8,26,"210000",21
