Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Begin Path
1	Spectrogram 1	1	44.222323102	44.263261960	2137.902	2316.840	SUKIA_20191011_020000_5min_cut.wav	44.2223	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
2	Spectrogram 1	1	55.460898822	55.505931566	2199.966	2310.702	SUKIA_20191011_020000_5min_cut.wav	55.4609	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
3	Spectrogram 1	1	58.799067731	58.848194361	2148.289	2295.938	SUKIA_20191011_020000_5min_cut.wav	58.7991	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
4	Spectrogram 1	1	61.122441915	61.161333831	2083.433	2263.861	SUKIA_20191011_020000_5min_cut.wav	61.1224	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
5	Spectrogram 1	1	64.393602074	64.430447047	2219.605	2413.650	SUKIA_20191011_020000_5min_cut.wav	64.3936	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
6	Spectrogram 1	1	65.780429937	65.831603510	2246.840	2457.729	SUKIA_20191011_020000_5min_cut.wav	65.7804	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
7	Spectrogram 1	1	68.783943361	68.833069991	2238.568	2426.420	SUKIA_20191011_020000_5min_cut.wav	68.7839	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
8	Spectrogram 1	1	70.763654650	70.802546565	2207.348	2318.085	SUKIA_20191011_020000_5min_cut.wav	70.7637	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
9	Spectrogram 1	1	71.954975430	72.000008174	2207.348	2332.850	SUKIA_20191011_020000_5min_cut.wav	71.9550	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
10	Spectrogram 1	1	85.824579399	85.863471314	2259.025	2436.204	SUKIA_20191011_020000_5min_cut.wav	85.8246	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
11	Spectrogram 1	1	273.781181049	273.828260736	2191.605	2379.457	SUKIA_20191011_020000_5min_cut.wav	273.7812	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
12	Spectrogram 1	1	281.999139841	282.072829786	2238.568	2379.457	SUKIA_20191011_020000_5min_cut.wav	281.9991	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
13	Spectrogram 1	1	285.289724131	285.338850761	2269.877	2442.074	SUKIA_20191011_020000_5min_cut.wav	285.2897	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
14	Spectrogram 1	1	287.565983269	287.598734356	2251.643	2347.615	SUKIA_20191011_020000_5min_cut.wav	287.5660	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
15	Spectrogram 1	1	290.033407388	290.080487076	2163.054	2281.173	SUKIA_20191011_020000_5min_cut.wav	290.0334	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
16	Spectrogram 1	1	292.274389962	292.317375764	2163.054	2259.025	SUKIA_20191011_020000_5min_cut.wav	292.2744	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
17	Spectrogram 1	1	295.617232240	295.647936384	2259.025	2406.674	SUKIA_20191011_020000_5min_cut.wav	295.6172	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
18	Spectrogram 1	1	297.854151098	297.895089957	2246.840	2396.629	SUKIA_20191011_020000_5min_cut.wav	297.8542	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191011_020000_5min_cut.wav
