Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Begin Path
1	Waveform 1	1	3.496178511	3.618995086	1983.036	2276.062	LAGCHIMU_20190719_200000_5min_cut.wav	3.4962	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190719_200000_5min_cut.wav
1	Spectrogram 1	1	3.496178511	3.618995086	1983.036	2276.062	LAGCHIMU_20190719_200000_5min_cut.wav	3.4962	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190719_200000_5min_cut.wav
1	Selection Spectrum 1	1	3.496178511	3.618995086	1983.036	2276.062	LAGCHIMU_20190719_200000_5min_cut.wav	3.4962	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190719_200000_5min_cut.wav
2	Waveform 1	1	7.581876583	7.671942072	2158.328	2331.947	LAGCHIMU_20190719_200000_5min_cut.wav	7.5819	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190719_200000_5min_cut.wav
2	Spectrogram 1	1	7.581876583	7.671942072	2158.328	2331.947	LAGCHIMU_20190719_200000_5min_cut.wav	7.5819	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190719_200000_5min_cut.wav
2	Selection Spectrum 1	1	7.581876583	7.671942072	2158.328	2331.947	LAGCHIMU_20190719_200000_5min_cut.wav	7.5819	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190719_200000_5min_cut.wav
3	Waveform 1	1	11.733536312	11.823601801	2107.263	2277.478	LAGCHIMU_20190719_200000_5min_cut.wav	11.7335	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190719_200000_5min_cut.wav
3	Spectrogram 1	1	11.733536312	11.823601801	2107.263	2277.478	LAGCHIMU_20190719_200000_5min_cut.wav	11.7335	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190719_200000_5min_cut.wav
3	Selection Spectrum 1	1	11.733536312	11.823601801	2107.263	2277.478	LAGCHIMU_20190719_200000_5min_cut.wav	11.7335	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190719_200000_5min_cut.wav
4	Waveform 1	1	14.509190914	14.672946348	2180.658	2351.022	LAGCHIMU_20190719_200000_5min_cut.wav	14.5092	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190719_200000_5min_cut.wav
