Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Begin Path	comment
18	Spectrogram 1	1	191.885896013	191.937069586	1985.875	2295.938	LAGCHIMU_20190720_210000_5min_cut.wav	191.8859	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	cantos pares
19	Spectrogram 1	1	200.993745180	201.118608699	2148.289	2310.702	LAGCHIMU_20190720_210000_5min_cut.wav	200.9937	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
20	Spectrogram 1	1	203.344757539	203.463480229	2148.289	2310.702	LAGCHIMU_20190720_210000_5min_cut.wav	203.3448	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
21	Spectrogram 1	1	205.936015606	206.003564723	1926.816	2244.260	LAGCHIMU_20190720_210000_5min_cut.wav	205.9360	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	 
22	Spectrogram 1	1	208.335890510	208.401392684	1941.581	2281.173	LAGCHIMU_20190720_210000_5min_cut.wav	208.3359	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
23	Spectrogram 1	1	213.819400936	213.886950053	1963.728	2303.320	LAGCHIMU_20190720_210000_5min_cut.wav	213.8194	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
24	Spectrogram 1	1	268.354026740	268.452280000	2103.994	2318.085	LAGCHIMU_20190720_210000_5min_cut.wav	268.3540	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
25	Spectrogram 1	1	271.657095210	271.712362669	2236.878	2480.498	LAGCHIMU_20190720_210000_5min_cut.wav	271.6571	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
26	Spectrogram 1	1	276.648458560	276.705772962	1985.875	2332.850	LAGCHIMU_20190720_210000_5min_cut.wav	276.6485	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
27	Spectrogram 1	1	281.294407781	281.364003841	1926.816	2273.790	LAGCHIMU_20190720_210000_5min_cut.wav	281.2944	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	canto doble
28	Spectrogram 1	1	281.507289845	281.607590048	2081.847	2303.320	LAGCHIMU_20190720_210000_5min_cut.wav	281.5073	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	canto doble
29	Spectrogram 1	1	284.889605267	284.942825783	1950.665	2284.287	LAGCHIMU_20190720_210000_5min_cut.wav	284.8896	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
