Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File
1	Waveform 1	1	20.268902095	20.305730568	2114.7	2368.9	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	20.2689	LAGCHIMU_20200119_230000_5min_cut.wav
1	Spectrogram 1	1	20.268902095	20.305730568	2114.7	2368.9	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	20.2689	LAGCHIMU_20200119_230000_5min_cut.wav
1	Selection Spectrum 1	1	20.268902095	20.305730568	2114.7	2368.9	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	20.2689	LAGCHIMU_20200119_230000_5min_cut.wav
2	Waveform 1	1	45.951074503	45.995268670	2035.1	2289.3	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	45.9511	LAGCHIMU_20200119_230000_5min_cut.wav
2	Spectrogram 1	1	45.951074503	45.995268670	2035.1	2289.3	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	45.9511	LAGCHIMU_20200119_230000_5min_cut.wav
2	Selection Spectrum 1	1	45.951074503	45.995268670	2035.1	2289.3	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	45.9511	LAGCHIMU_20200119_230000_5min_cut.wav
3	Waveform 1	1	75.931862780	75.983422642	2029.0	2249.5	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	75.9319	LAGCHIMU_20200119_230000_5min_cut.wav
3	Spectrogram 1	1	75.931862780	75.983422642	2029.0	2249.5	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	75.9319	LAGCHIMU_20200119_230000_5min_cut.wav
3	Selection Spectrum 1	1	75.931862780	75.983422642	2029.0	2249.5	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	75.9319	LAGCHIMU_20200119_230000_5min_cut.wav
4	Waveform 1	1	82.699702433	82.743896601	2099.9	2354.9	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	82.6997	LAGCHIMU_20200119_230000_5min_cut.wav
4	Spectrogram 1	1	82.699702433	82.743896601	2099.9	2354.9	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	82.6997	LAGCHIMU_20200119_230000_5min_cut.wav
4	Selection Spectrum 1	1	82.699702433	82.743896601	2099.9	2354.9	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	82.6997	LAGCHIMU_20200119_230000_5min_cut.wav
5	Waveform 1	1	94.981548219	95.033108081	1988.4	2291.1	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	94.9815	LAGCHIMU_20200119_230000_5min_cut.wav
5	Spectrogram 1	1	94.981548219	95.033108081	1988.4	2291.1	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	94.9815	LAGCHIMU_20200119_230000_5min_cut.wav
5	Selection Spectrum 1	1	94.981548219	95.033108081	1988.4	2291.1	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	94.9815	LAGCHIMU_20200119_230000_5min_cut.wav
6	Waveform 1	1	144.838449660	144.897375216	2004.4	2354.9	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	144.8384	LAGCHIMU_20200119_230000_5min_cut.wav
6	Spectrogram 1	1	144.838449660	144.897375216	2004.4	2354.9	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	144.8384	LAGCHIMU_20200119_230000_5min_cut.wav
6	Selection Spectrum 1	1	144.838449660	144.897375216	2004.4	2354.9	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	144.8384	LAGCHIMU_20200119_230000_5min_cut.wav
7	Waveform 1	1	147.202837602	147.269128852	2145.3	2418.6	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	147.2028	LAGCHIMU_20200119_230000_5min_cut.wav
7	Spectrogram 1	1	147.202837602	147.269128852	2145.3	2418.6	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	147.2028	LAGCHIMU_20200119_230000_5min_cut.wav
7	Selection Spectrum 1	1	147.202837602	147.269128852	2145.3	2418.6	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	147.2028	LAGCHIMU_20200119_230000_5min_cut.wav
8	Waveform 1	1	173.123923262	173.182848818	2111.7	2291.1	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	173.1239	LAGCHIMU_20200119_230000_5min_cut.wav
8	Spectrogram 1	1	173.123923262	173.182848818	2111.7	2291.1	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	173.1239	LAGCHIMU_20200119_230000_5min_cut.wav
8	Selection Spectrum 1	1	173.123923262	173.182848818	2111.7	2291.1	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	173.1239	LAGCHIMU_20200119_230000_5min_cut.wav
9	Waveform 1	1	177.295089855	177.346649717	2004.4	2323.0	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	177.2951	LAGCHIMU_20200119_230000_5min_cut.wav
9	Spectrogram 1	1	177.295089855	177.346649717	2004.4	2323.0	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	177.2951	LAGCHIMU_20200119_230000_5min_cut.wav
9	Selection Spectrum 1	1	177.295089855	177.346649717	2004.4	2323.0	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	177.2951	LAGCHIMU_20200119_230000_5min_cut.wav
10	Waveform 1	1	213.300469797	213.374126742	2084.0	2370.8	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	213.3005	LAGCHIMU_20200119_230000_5min_cut.wav
10	Spectrogram 1	1	213.300469797	213.374126742	2084.0	2370.8	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	213.3005	LAGCHIMU_20200119_230000_5min_cut.wav
10	Selection Spectrum 1	1	213.300469797	213.374126742	2084.0	2370.8	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	213.3005	LAGCHIMU_20200119_230000_5min_cut.wav
11	Waveform 1	1	218.400943756	218.481966395	2131.8	2313.8	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	218.4009	LAGCHIMU_20200119_230000_5min_cut.wav
11	Spectrogram 1	1	218.400943756	218.481966395	2131.8	2313.8	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_230000_5min_cut.wav	218.4009	LAGCHIMU_20200119_230000_5min_cut.wav
