Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File
1	Spectrogram 1	1	26.730206705	26.782548508	2145.900	2512.400	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20200123_190000_5min_cut.wav	26.7302	SUKIA_20200123_190000_5min_cut.wav
1	Selection Spectrum 1	1	26.730206705	26.782548508	2145.900	2512.400	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20200123_190000_5min_cut.wav	26.7302	SUKIA_20200123_190000_5min_cut.wav
2	Spectrogram 1	1	29.318218100	29.358928392	2177.800	2576.100	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20200123_190000_5min_cut.wav	29.3182	SUKIA_20200123_190000_5min_cut.wav
2	Selection Spectrum 1	1							
3	Spectrogram 1	1	33.889402273	33.941744076	2050.300	2289.300	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20200123_190000_5min_cut.wav	33.8894	SUKIA_20200123_190000_5min_cut.wav
3	Selection Spectrum 1	1	33.889402273	33.941744076	2050.300	2289.300	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20200123_190000_5min_cut.wav	33.8894	SUKIA_20200123_190000_5min_cut.wav
4	Spectrogram 1	1	33.999901636	34.058059195	2289.300	2512.400	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20200123_190000_5min_cut.wav	33.9999	SUKIA_20200123_190000_5min_cut.wav
4	Selection Spectrum 1	1	33.999901636	34.058059195	2289.300	2512.400	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20200123_190000_5min_cut.wav	33.9999	SUKIA_20200123_190000_5min_cut.wav
7	Spectrogram 1	1	41.352148900	41.404490703	2161.800	2369.000	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20200123_190000_5min_cut.wav	41.3521	SUKIA_20200123_190000_5min_cut.wav
7	Selection Spectrum 1	1	41.352148900	41.404490703	2161.800	2369.000	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20200123_190000_5min_cut.wav	41.3521	SUKIA_20200123_190000_5min_cut.wav
