Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Begin Path
1	Spectrogram 1	1	62.762500000	62.897598233	2161.670	2368.690	LAGCHIMU_20190715_040000_5min_cut.wav	62.7625	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
2	Spectrogram 1	1	110.057000000	110.138877717	1994.105	2307.315	LAGCHIMU_20190715_040000_5min_cut.wav	110.0570	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
3	Spectrogram 1	1	112.619700000	112.750704347	2171.591	2359.517	LAGCHIMU_20190715_040000_5min_cut.wav	112.6197	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
4	Spectrogram 1	1	115.115000000	115.205065489	2108.949	2328.196	LAGCHIMU_20190715_040000_5min_cut.wav	115.1150	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
5	Spectrogram 1	1	124.108100000	124.235010462	2192.472	2380.398	LAGCHIMU_20190715_040000_5min_cut.wav	124.1081	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
6	Spectrogram 1	1	132.292100000	132.398541032	2182.031	2526.562	LAGCHIMU_20190715_040000_5min_cut.wav	132.2921	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
7	Spectrogram 1	1	134.801600000	134.899853261	2088.068	2401.278	LAGCHIMU_20190715_040000_5min_cut.wav	134.8016	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
8	Spectrogram 1	1	138.221900000	138.352904347	2182.031	2390.838	LAGCHIMU_20190715_040000_5min_cut.wav	138.2219	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
9	Spectrogram 1	1	144.920000000	145.014159374	1962.784	2422.159	LAGCHIMU_20190715_040000_5min_cut.wav	144.9200	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
10	Spectrogram 1	1	151.141200000	151.259922689	2150.710	2380.398	LAGCHIMU_20190715_040000_5min_cut.wav	151.1412	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
13	Spectrogram 1	1	159.395700000	159.526704347	1962.784	2338.636	LAGCHIMU_20190715_040000_5min_cut.wav	159.3957	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
14	Spectrogram 1	1	168.053800000	168.172522689	2202.912	2547.443	LAGCHIMU_20190715_040000_5min_cut.wav	168.0538	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
15	Spectrogram 1	1	170.827500000	170.938034918	2161.151	2359.517	LAGCHIMU_20190715_040000_5min_cut.wav	170.8275	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
16	Spectrogram 1	1	174.523200000	174.629641032	1983.665	2349.077	LAGCHIMU_20190715_040000_5min_cut.wav	174.5232	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
17	Spectrogram 1	1	257.253600000	257.364134918	1973.224	2317.756	LAGCHIMU_20190715_040000_5min_cut.wav	257.2536	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
18	Spectrogram 1	1	260.184600000	260.291041032	2202.912	2401.278	LAGCHIMU_20190715_040000_5min_cut.wav	260.1846	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
19	Spectrogram 1	1	277.717400000	277.840216575	2182.031	2380.398	LAGCHIMU_20190715_040000_5min_cut.wav	277.7174	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
20	Spectrogram 1	1	279.659900000	279.778622690	1952.344	2328.196	LAGCHIMU_20190715_040000_5min_cut.wav	279.6599	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
21	Spectrogram 1	1	281.841000000	281.959722689	2161.151	2380.398	LAGCHIMU_20190715_040000_5min_cut.wav	281.8410	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
22	Spectrogram 1	1	285.773000000	285.867159374	1973.224	2317.756	LAGCHIMU_20190715_040000_5min_cut.wav	285.7730	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190715_040000_5min_cut.wav
