Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Begin Path
1	Spectrogram 1	1	28.904485154	28.969987328	2030.170	2318.085	LAGCHIMU_20190729_220000_5min_cut.wav	28.9045	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
2	Spectrogram 1	1	33.037837774	33.123809377	2170.436	2362.379	LAGCHIMU_20190729_220000_5min_cut.wav	33.0378	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
3	Spectrogram 1	1	36.050937756	36.145097130	2008.023	2354.997	LAGCHIMU_20190729_220000_5min_cut.wav	36.0509	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
4	Spectrogram 1	1	39.286346566	39.409163142	2207.348	2391.909	LAGCHIMU_20190729_220000_5min_cut.wav	39.2863	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
5	Spectrogram 1	1	46.349753297	46.443912672	1919.433	2428.821	LAGCHIMU_20190729_220000_5min_cut.wav	46.3498	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
6	Spectrogram 1	1	62.859172937	62.928768997	1978.493	2340.232	LAGCHIMU_20190729_220000_5min_cut.wav	62.8592	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
7	Spectrogram 1	1	73.955431410	74.078247986	2133.524	2354.997	LAGCHIMU_20190729_220000_5min_cut.wav	73.9554	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
8	Spectrogram 1	1	74.160125702	74.266566734	2074.464	2273.790	LAGCHIMU_20190729_220000_5min_cut.wav	74.1601	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
9	Spectrogram 1	1	79.961883573	80.117451235	2207.348	2399.292	LAGCHIMU_20190729_220000_5min_cut.wav	79.9619	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
10	Spectrogram 1	1	81.011224611	81.076726785	1956.346	2399.292	LAGCHIMU_20190729_220000_5min_cut.wav	81.0112	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
11	Spectrogram 1	1	84.064873695	84.163126956	2081.847	2288.555	LAGCHIMU_20190729_220000_5min_cut.wav	84.0649	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
12	Spectrogram 1	1	89.622469385	89.733004302	2140.906	2332.850	LAGCHIMU_20190729_220000_5min_cut.wav	89.6225	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
13	Spectrogram 1	1	94.074433971	94.197250546	2008.023	2325.467	LAGCHIMU_20190729_220000_5min_cut.wav	94.0744	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
14	Spectrogram 1	1	142.786063620	142.892504652	1993.258	2266.408	LAGCHIMU_20190729_220000_5min_cut.wav	142.7861	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
15	Spectrogram 1	1	150.911959605	151.018400637	2059.700	2281.173	LAGCHIMU_20190729_220000_5min_cut.wav	150.9120	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
16	Spectrogram 1	1	151.645174705	151.731146308	1956.346	2362.379	LAGCHIMU_20190729_220000_5min_cut.wav	151.6452	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
17	Spectrogram 1	1	154.491829068	154.602363986	2155.671	2354.997	LAGCHIMU_20190729_220000_5min_cut.wav	154.4918	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
18	Spectrogram 1	1	160.312682837	160.447781070	2140.906	2273.790	LAGCHIMU_20190729_220000_5min_cut.wav	160.3127	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
19	Spectrogram 1	1	160.525564901	160.591067074	1978.493	2325.467	LAGCHIMU_20190729_220000_5min_cut.wav	160.5256	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
20	Spectrogram 1	1	162.915107750	163.046112097	2199.966	2399.292	LAGCHIMU_20190729_220000_5min_cut.wav	162.9151	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
21	Spectrogram 1	1	214.271410897	214.365570271	2111.377	2273.790	LAGCHIMU_20190729_220000_5min_cut.wav	214.2714	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
22	Spectrogram 1	1	216.494672835	216.592926095	2148.289	2354.997	LAGCHIMU_20190729_220000_5min_cut.wav	216.4947	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
23	Spectrogram 1	1	219.667142048	219.781770851	2030.170	2303.320	LAGCHIMU_20190729_220000_5min_cut.wav	219.6671	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
24	Spectrogram 1	1	225.405570565	225.471072738	2059.700	2354.997	LAGCHIMU_20190729_220000_5min_cut.wav	225.4056	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
25	Spectrogram 1	1	235.375666415	235.441168589	1948.963	2281.173	LAGCHIMU_20190729_220000_5min_cut.wav	235.3757	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
26	Spectrogram 1	1	238.079316698	238.161194415	2229.496	2384.527	LAGCHIMU_20190729_220000_5min_cut.wav	238.0793	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
27	Spectrogram 1	1	245.420980058	245.478294460	2037.552	2384.527	LAGCHIMU_20190729_220000_5min_cut.wav	245.4210	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
28	Spectrogram 1	1	251.416974190	251.507039678	2126.142	2332.850	LAGCHIMU_20190729_220000_5min_cut.wav	251.4170	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
29	Spectrogram 1	1	258.926554137	258.996150196	2059.700	2251.643	LAGCHIMU_20190729_220000_5min_cut.wav	258.9266	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
30	Spectrogram 1	1	263.281571726	263.375731100	2008.023	2332.850	LAGCHIMU_20190729_220000_5min_cut.wav	263.2816	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
31	Spectrogram 1	1	270.845584476	270.894711107	1978.493	2428.821	LAGCHIMU_20190729_220000_5min_cut.wav	270.8456	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
32	Spectrogram 1	1	283.988108978	284.078174466	2052.317	2266.408	LAGCHIMU_20190729_220000_5min_cut.wav	283.9881	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
33	Spectrogram 1	1	288.896922932	289.023833393	2229.496	2473.116	LAGCHIMU_20190729_220000_5min_cut.wav	288.8969	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
34	Spectrogram 1	1	290.913891999	290.971206401	2067.082	2391.909	LAGCHIMU_20190729_220000_5min_cut.wav	290.9139	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
35	Spectrogram 1	1	291.744950825	291.843204085	2185.201	2369.762	LAGCHIMU_20190729_220000_5min_cut.wav	291.7450	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
36	Spectrogram 1	1	295.224968449	295.306846166	2074.464	2295.938	LAGCHIMU_20190729_220000_5min_cut.wav	295.2250	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
37	Spectrogram 1	1	296.051933389	296.117435563	2155.671	2414.057	LAGCHIMU_20190729_220000_5min_cut.wav	296.0519	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190729_220000_5min_cut.wav
