Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File
3	Spectrogram 1	1	285.050667613	285.088493492	1376.700	1642.900	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/LAGCHIMU_20190909_190000_5min_cut.wav	285.0507	LAGCHIMU_20190909_190000_5min_cut.wav
4	Spectrogram 1	1	0.258282018	0.313780633	2279.400	2375.028	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/LAGCHIMU_20190909_190000_5min_cut.wav	0.2583	LAGCHIMU_20190909_190000_5min_cut.wav
6	Spectrogram 1	1	11.383865805	11.460710041	2270.525	2332.078	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/LAGCHIMU_20190909_190000_5min_cut.wav	11.3839	LAGCHIMU_20190909_190000_5min_cut.wav
7	Spectrogram 1	1	101.489468809	101.579120418	2161.167	2271.609	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/LAGCHIMU_20190909_190000_5min_cut.wav	101.4895	LAGCHIMU_20190909_190000_5min_cut.wav
8	Spectrogram 1	1	133.108579227	133.185423464	2242.116	2294.200	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/LAGCHIMU_20190909_190000_5min_cut.wav	133.1086	LAGCHIMU_20190909_190000_5min_cut.wav
9	Spectrogram 1	1	178.003638405	178.097559138	2246.851	2322.609	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/LAGCHIMU_20190909_190000_5min_cut.wav	178.0036	LAGCHIMU_20190909_190000_5min_cut.wav
10	Spectrogram 1	1	181.319135922	181.417325780	2303.669	2384.162	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/LAGCHIMU_20190909_190000_5min_cut.wav	181.3191	LAGCHIMU_20190909_190000_5min_cut.wav
11	Spectrogram 1	1	216.801743944	216.925548547	2223.177	2294.200	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/LAGCHIMU_20190909_190000_5min_cut.wav	216.8017	LAGCHIMU_20190909_190000_5min_cut.wav
12	Spectrogram 1	1	282.195518950	282.289439684	2295.338	2365.921	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/LAGCHIMU_20190909_190000_5min_cut.wav	282.1955	LAGCHIMU_20190909_190000_5min_cut.wav
