Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File
1	Spectrogram 1	1	23.600518411	23.681989535	2031.8	2350.4	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200113_180000_5min_cut.wav	23.6005	LAGCHIMU_20200113_180000_5min_cut.wav
4	Spectrogram 1	1	74.700564260	74.764577286	2309.7	2580.5	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200113_180000_5min_cut.wav	74.7006	LAGCHIMU_20200113_180000_5min_cut.wav
5	Spectrogram 1	1	79.606289775	79.676122167	2086.6	2374.8	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200113_180000_5min_cut.wav	79.6063	LAGCHIMU_20200113_180000_5min_cut.wav
9	Spectrogram 1	1	105.586020052	105.626755614	2214.1	2405.3	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200113_180000_5min_cut.wav	105.5860	LAGCHIMU_20200113_180000_5min_cut.wav
13	Spectrogram 1	1	136.391778463	136.484888319	2054.8	2357.5	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200113_180000_5min_cut.wav	136.3918	LAGCHIMU_20200113_180000_5min_cut.wav
14	Spectrogram 1	1	150.296771532	150.331687728	2230.0	2548.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200113_180000_5min_cut.wav	150.2968	LAGCHIMU_20200113_180000_5min_cut.wav
15	Spectrogram 1	1	209.806955041	209.900064897	2102.6	2309.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200113_180000_5min_cut.wav	209.8070	LAGCHIMU_20200113_180000_5min_cut.wav
16	Spectrogram 1	1	245.803754002	245.902683224	2054.8	2318.4	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200113_180000_5min_cut.wav	245.8038	LAGCHIMU_20200113_180000_5min_cut.wav
17	Spectrogram 1	1	258.678435159	258.754086917	2194.8	2511.3	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200113_180000_5min_cut.wav	258.6784	LAGCHIMU_20200113_180000_5min_cut.wav
18	Spectrogram 1	1	285.987082416	286.033637344	2076.7	2405.2	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200113_180000_5min_cut.wav	285.9871	LAGCHIMU_20200113_180000_5min_cut.wav
