Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File
1	Waveform 1	1	22.787096329	22.851109355	2246.9	2589.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	22.7871	SUKIA_20190827_000000_5min_cut.wav
1	Spectrogram 1	1	22.787096329	22.851109355	2246.9	2589.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	22.7871	SUKIA_20190827_000000_5min_cut.wav
1	Selection Spectrum 1	1	22.787096329	22.851109355	2246.9	2589.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	22.7871	SUKIA_20190827_000000_5min_cut.wav
2	Waveform 1	1	25.844696257	25.914528649	2242.9	2518.8	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	25.8447	SUKIA_20190827_000000_5min_cut.wav
2	Spectrogram 1	1	25.844696257	25.914528649	2242.9	2518.8	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	25.8447	SUKIA_20190827_000000_5min_cut.wav
2	Selection Spectrum 1	1	25.844696257	25.914528649	2242.9	2518.8	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	25.8447	SUKIA_20190827_000000_5min_cut.wav
3	Waveform 1	1	28.527423971	28.591436997	2208.1	2410.9	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	28.5274	SUKIA_20190827_000000_5min_cut.wav
3	Spectrogram 1	1	28.527423971	28.591436997	2208.1	2410.9	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	28.5274	SUKIA_20190827_000000_5min_cut.wav
3	Selection Spectrum 1	1	28.527423971	28.591436997	2208.1	2410.9	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	28.5274	SUKIA_20190827_000000_5min_cut.wav
4	Waveform 1	1	35.675452286	35.716187848	2027.8	2564.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	35.6755	SUKIA_20190827_000000_5min_cut.wav
4	Spectrogram 1	1	35.675452286	35.716187848	2027.8	2564.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	35.6755	SUKIA_20190827_000000_5min_cut.wav
4	Selection Spectrum 1	1	35.675452286	35.716187848	2027.8	2564.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	35.6755	SUKIA_20190827_000000_5min_cut.wav
5	Waveform 1	1	43.147518196	43.234808685	2255.0	2593.8	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	43.1475	SUKIA_20190827_000000_5min_cut.wav
5	Spectrogram 1	1	43.147518196	43.234808685	2255.0	2593.8	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	43.1475	SUKIA_20190827_000000_5min_cut.wav
5	Selection Spectrum 1	1	43.147518196	43.234808685	2255.0	2593.8	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	43.1475	SUKIA_20190827_000000_5min_cut.wav
6	Waveform 1	1	51.513990176	51.554725738	2050.4	2568.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	51.5140	SUKIA_20190827_000000_5min_cut.wav
6	Spectrogram 1	1	51.513990176	51.554725738	2050.4	2568.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	51.5140	SUKIA_20190827_000000_5min_cut.wav
6	Selection Spectrum 1	1	51.513990176	51.554725738	2050.4	2568.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	51.5140	SUKIA_20190827_000000_5min_cut.wav
7	Waveform 1	1	53.899930225	53.963943251	1892.6	2275.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	53.8999	SUKIA_20190827_000000_5min_cut.wav
7	Spectrogram 1	1	53.899930225	53.963943251	1892.6	2275.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	53.8999	SUKIA_20190827_000000_5min_cut.wav
7	Selection Spectrum 1	1	53.899930225	53.963943251	1892.6	2275.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	53.8999	SUKIA_20190827_000000_5min_cut.wav
8	Waveform 1	1	92.843057444	92.907070469	2095.4	2535.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	92.8431	SUKIA_20190827_000000_5min_cut.wav
8	Spectrogram 1	1	92.843057444	92.907070469	2095.4	2535.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	92.8431	SUKIA_20190827_000000_5min_cut.wav
8	Selection Spectrum 1	1	92.843057444	92.907070469	2095.4	2535.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	92.8431	SUKIA_20190827_000000_5min_cut.wav
9	Waveform 1	1	98.132861113	98.208512871	2247.8	2526.0	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	98.1329	SUKIA_20190827_000000_5min_cut.wav
9	Spectrogram 1	1	98.132861113	98.208512871	2247.8	2526.0	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	98.1329	SUKIA_20190827_000000_5min_cut.wav
9	Selection Spectrum 1	1	98.132861113	98.208512871	2247.8	2526.0	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	98.1329	SUKIA_20190827_000000_5min_cut.wav
10	Waveform 1	1	158.114711960	158.190363717	2303.4	2523.5	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	158.1147	SUKIA_20190827_000000_5min_cut.wav
10	Spectrogram 1	1	158.114711960	158.190363717	2303.4	2523.5	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	158.1147	SUKIA_20190827_000000_5min_cut.wav
10	Selection Spectrum 1	1	158.114711960	158.190363717	2303.4	2523.5	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	158.1147	SUKIA_20190827_000000_5min_cut.wav
11	Waveform 1	1	160.849813967	160.896368895	1889.7	2158.3	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	160.8498	SUKIA_20190827_000000_5min_cut.wav
11	Spectrogram 1	1	160.849813967	160.896368895	1889.7	2158.3	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	160.8498	SUKIA_20190827_000000_5min_cut.wav
11	Selection Spectrum 1	1	160.849813967	160.896368895	1889.7	2158.3	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	160.8498	SUKIA_20190827_000000_5min_cut.wav
12	Waveform 1	1	165.165592713	165.229605739	2233.3	2465.5	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	165.1656	SUKIA_20190827_000000_5min_cut.wav
12	Spectrogram 1	1	165.165592713	165.229605739	2233.3	2465.5	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	165.1656	SUKIA_20190827_000000_5min_cut.wav
12	Selection Spectrum 1	1	165.165592713	165.229605739	2233.3	2465.5	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	165.1656	SUKIA_20190827_000000_5min_cut.wav
13	Waveform 1	1	167.650461983	167.714475009	2327.6	2658.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	167.6505	SUKIA_20190827_000000_5min_cut.wav
13	Spectrogram 1	1	167.650461983	167.714475009	2327.6	2658.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	167.6505	SUKIA_20190827_000000_5min_cut.wav
13	Selection Spectrum 1	1	167.650461983	167.714475009	2327.6	2658.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	167.6505	SUKIA_20190827_000000_5min_cut.wav
14	Waveform 1	1	170.071318228	170.152789352	2185.5	2613.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	170.0713	SUKIA_20190827_000000_5min_cut.wav
14	Spectrogram 1	1	170.071318228	170.152789352	2185.5	2613.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	170.0713	SUKIA_20190827_000000_5min_cut.wav
14	Selection Spectrum 1	1	170.071318228	170.152789352	2185.5	2613.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	170.0713	SUKIA_20190827_000000_5min_cut.wav
15	Waveform 1	1	171.747295629	171.805489288	1892.6	2185.5	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	171.7473	SUKIA_20190827_000000_5min_cut.wav
15	Spectrogram 1	1	171.747295629	171.805489288	1892.6	2185.5	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	171.7473	SUKIA_20190827_000000_5min_cut.wav
15	Selection Spectrum 1	1	171.747295629	171.805489288	1892.6	2185.5	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	171.7473	SUKIA_20190827_000000_5min_cut.wav
16	Waveform 1	1	175.559040972	175.623053997	2185.5	2506.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	175.5590	SUKIA_20190827_000000_5min_cut.wav
16	Spectrogram 1	1	175.559040972	175.623053997	2185.5	2506.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	175.5590	SUKIA_20190827_000000_5min_cut.wav
16	Selection Spectrum 1	1	175.559040972	175.623053997	2185.5	2506.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	175.5590	SUKIA_20190827_000000_5min_cut.wav
17	Waveform 1	1	177.741303211	177.822774335	2298.2	2523.5	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	177.7413	SUKIA_20190827_000000_5min_cut.wav
17	Spectrogram 1	1	177.741303211	177.822774335	2298.2	2523.5	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	177.7413	SUKIA_20190827_000000_5min_cut.wav
17	Selection Spectrum 1	1	177.741303211	177.822774335	2298.2	2523.5	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	177.7413	SUKIA_20190827_000000_5min_cut.wav
18	Waveform 1	1	180.005036575	180.092327065	2242.9	2509.1	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	180.0050	SUKIA_20190827_000000_5min_cut.wav
18	Spectrogram 1	1	180.005036575	180.092327065	2242.9	2509.1	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	180.0050	SUKIA_20190827_000000_5min_cut.wav
18	Selection Spectrum 1	1	180.005036575	180.092327065	2242.9	2509.1	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190827_000000_5min_cut.wav	180.0050	SUKIA_20190827_000000_5min_cut.wav
