Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Begin Path
1	Spectrogram 1	1	87.421227869	87.505177487	2222.113	2391.909	LAGCHIMU_20190806_010000_5min_cut.wav	87.4212	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
2	Spectrogram 1	1	90.317591426	90.375487715	2008.023	2288.555	LAGCHIMU_20190806_010000_5min_cut.wav	90.3176	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
3	Spectrogram 1	1	94.828827422	94.930145927	2236.878	2391.909	LAGCHIMU_20190806_010000_5min_cut.wav	94.8288	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
4	Spectrogram 1	1	99.569736784	99.653686403	2259.025	2391.909	LAGCHIMU_20190806_010000_5min_cut.wav	99.5697	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
5	Spectrogram 1	1	113.055243695	113.133403685	1978.493	2199.966	LAGCHIMU_20190806_010000_5min_cut.wav	113.0552	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
6	Spectrogram 1	1	180.987267854	181.056743400	2155.671	2362.379	LAGCHIMU_20190806_010000_5min_cut.wav	180.9873	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
7	Spectrogram 1	1	185.330075203	185.440078152	2229.496	2406.674	LAGCHIMU_20190806_010000_5min_cut.wav	185.3301	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
8	Spectrogram 1	1	188.930649889	188.976966920	2000.640	2251.643	LAGCHIMU_20190806_010000_5min_cut.wav	188.9306	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
9	Spectrogram 1	1	191.389991854	191.456572586	2118.759	2244.260	LAGCHIMU_20190806_010000_5min_cut.wav	191.3900	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
10	Spectrogram 1	1	197.613707688	197.680288420	2199.966	2428.821	LAGCHIMU_20190806_010000_5min_cut.wav	197.6137	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
11	Spectrogram 1	1	199.545709088	199.638343150	2236.878	2406.674	LAGCHIMU_20190806_010000_5min_cut.wav	199.5457	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
12	Spectrogram 1	1	202.080845637	202.187953771	2236.878	2377.144	LAGCHIMU_20190806_010000_5min_cut.wav	202.0808	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
13	Spectrogram 1	1	207.793384554	207.862860101	2207.348	2414.057	LAGCHIMU_20190806_010000_5min_cut.wav	207.7934	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
14	Spectrogram 1	1	211.687127031	211.788445536	2198.830	2369.394	LAGCHIMU_20190806_010000_5min_cut.wav	211.6871	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
16	Spectrogram 1	1	253.739133046	253.797029335	2170.436	2524.793	LAGCHIMU_20190806_010000_5min_cut.wav	253.7391	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
17	Spectrogram 1	1	281.218236761	281.279027864	2089.229	2251.643	LAGCHIMU_20190806_010000_5min_cut.wav	281.2182	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
18	Spectrogram 1	1	287.554351670	287.649880546	2259.025	2384.527	LAGCHIMU_20190806_010000_5min_cut.wav	287.5544	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
19	Spectrogram 1	1	289.236016648	289.299702565	2207.348	2450.969	LAGCHIMU_20190806_010000_5min_cut.wav	289.2360	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
20	Spectrogram 1	1	295.852106305	295.933161110	2222.113	2406.674	LAGCHIMU_20190806_010000_5min_cut.wav	295.8521	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
21	Spectrogram 1	1	298.131939056	298.207204231	2148.289	2532.175	LAGCHIMU_20190806_010000_5min_cut.wav	298.1319	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190806_010000_5min_cut.wav
