Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Begin Path
1	Spectrogram 1	1	38.521845746	38.591321293	2077.628	2359.517	LAGCHIMU_20190809_220000_5min_cut.wav	38.5218	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190809_220000_5min_cut.wav
2	Spectrogram 1	1	42.299599713	42.351706373	2056.747	2307.315	LAGCHIMU_20190809_220000_5min_cut.wav	42.2996	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190809_220000_5min_cut.wav
3	Spectrogram 1	1	45.945429323	46.061221901	2150.710	2443.040	LAGCHIMU_20190809_220000_5min_cut.wav	45.9454	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190809_220000_5min_cut.wav
4	Spectrogram 1	1	51.328749620	51.404014796	2150.710	2317.756	LAGCHIMU_20190809_220000_5min_cut.wav	51.3287	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190809_220000_5min_cut.wav
5	Spectrogram 1	1	53.957138811	54.043983244	2192.472	2390.838	LAGCHIMU_20190809_220000_5min_cut.wav	53.9571	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190809_220000_5min_cut.wav
6	Spectrogram 1	1	56.915639171	56.985114717	2098.509	2359.517	LAGCHIMU_20190809_220000_5min_cut.wav	56.9156	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190809_220000_5min_cut.wav
7	Spectrogram 1	1	63.503903362	63.613906311	2140.270	2359.517	LAGCHIMU_20190809_220000_5min_cut.wav	63.5039	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190809_220000_5min_cut.wav
8	Spectrogram 1	1	65.877651204	65.935547493	2067.187	2317.756	LAGCHIMU_20190809_220000_5min_cut.wav	65.8777	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190809_220000_5min_cut.wav
9	Spectrogram 1	1	96.386537611	96.450223529	2119.389	2307.315	LAGCHIMU_20190809_220000_5min_cut.wav	96.3865	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190809_220000_5min_cut.wav
10	Spectrogram 1	1	135.889500817	135.982134879	2088.068	2338.636	LAGCHIMU_20190809_220000_5min_cut.wav	135.8895	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190809_220000_5min_cut.wav
11	Spectrogram 1	1	139.316961116	139.363278147	2098.509	2349.077	LAGCHIMU_20190809_220000_5min_cut.wav	139.3170	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190809_220000_5min_cut.wav
12	Spectrogram 1	1	141.550270989	141.625536165	2234.233	2380.398	LAGCHIMU_20190809_220000_5min_cut.wav	141.5503	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190809_220000_5min_cut.wav
