Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File
1	Waveform 1	1	11.810026912	11.862401206	2071.6	2290.6	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200112_210000_5min_cut.wav	11.8100	LAGCHIMU_20200112_210000_5min_cut.wav
1	Spectrogram 1	1	11.810026912	11.862401206	2071.6	2290.6	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200112_210000_5min_cut.wav	11.8100	LAGCHIMU_20200112_210000_5min_cut.wav
1	Selection Spectrum 1	1	11.810026912	11.862401206	2071.6	2290.6	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200112_210000_5min_cut.wav	11.8100	LAGCHIMU_20200112_210000_5min_cut.wav
2	Waveform 1	1	9.633584038	9.674319600	2232.4	2538.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200112_210000_5min_cut.wav	9.6336	LAGCHIMU_20200112_210000_5min_cut.wav
2	Spectrogram 1	1	9.633584038	9.674319600	2232.4	2538.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200112_210000_5min_cut.wav	9.6336	LAGCHIMU_20200112_210000_5min_cut.wav
2	Selection Spectrum 1	1	9.633584038	9.674319600	2232.4	2538.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200112_210000_5min_cut.wav	9.6336	LAGCHIMU_20200112_210000_5min_cut.wav
3	Waveform 1	1	24.629749126	24.670484688	2086.6	2484.9	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200112_210000_5min_cut.wav	24.6297	LAGCHIMU_20200112_210000_5min_cut.wav
3	Spectrogram 1	1	24.629749126	24.670484688	2086.6	2484.9	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200112_210000_5min_cut.wav	24.6297	LAGCHIMU_20200112_210000_5min_cut.wav
3	Selection Spectrum 1	1	24.629749126	24.670484688	2086.6	2484.9	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200112_210000_5min_cut.wav	24.6297	LAGCHIMU_20200112_210000_5min_cut.wav
4	Waveform 1	1	35.521069060	35.567623987	2150.4	2373.4	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200112_210000_5min_cut.wav	35.5211	LAGCHIMU_20200112_210000_5min_cut.wav
4	Spectrogram 1	1	35.521069060	35.567623987	2150.4	2373.4	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200112_210000_5min_cut.wav	35.5211	LAGCHIMU_20200112_210000_5min_cut.wav
4	Selection Spectrum 1	1	35.521069060	35.567623987	2150.4	2373.4	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200112_210000_5min_cut.wav	35.5211	LAGCHIMU_20200112_210000_5min_cut.wav
5	Waveform 1	1	45.459003493	45.546293983	2086.6	2261.9	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200112_210000_5min_cut.wav	45.4590	LAGCHIMU_20200112_210000_5min_cut.wav
