Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Begin Path
1	Waveform 1	1	18.738922776	18.831556839	2010.016	2221.850	LAGCHIMU_20190725_190000_5min_cut.wav	18.7389	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190725_190000_5min_cut.wav
1	Spectrogram 1	1	18.738922776	18.831556839	2010.016	2221.850	LAGCHIMU_20190725_190000_5min_cut.wav	18.7389	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190725_190000_5min_cut.wav
1	Selection Spectrum 1	1	18.738922776	18.831556839	2010.016	2221.850	LAGCHIMU_20190725_190000_5min_cut.wav	18.7389	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190725_190000_5min_cut.wav
2	Waveform 1	1	27.052829853	27.168622431	2243.515	2402.391	LAGCHIMU_20190725_190000_5min_cut.wav	27.0528	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190725_190000_5min_cut.wav
2	Spectrogram 1	1	27.052829853	27.168622431	2243.515	2402.391	LAGCHIMU_20190725_190000_5min_cut.wav	27.0528	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190725_190000_5min_cut.wav
2	Selection Spectrum 1	1	27.052829853	27.168622431	2243.515	2402.391	LAGCHIMU_20190725_190000_5min_cut.wav	27.0528	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190725_190000_5min_cut.wav
3	Waveform 1	1	31.671566605	31.764200667	1945.022	2118.341	LAGCHIMU_20190725_190000_5min_cut.wav	31.6716	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190725_190000_5min_cut.wav
3	Spectrogram 1	1	31.671566605	31.764200667	1945.022	2118.341	LAGCHIMU_20190725_190000_5min_cut.wav	31.6716	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190725_190000_5min_cut.wav
3	Selection Spectrum 1	1	31.671566605	31.764200667	1945.022	2118.341	LAGCHIMU_20190725_190000_5min_cut.wav	31.6716	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190725_190000_5min_cut.wav
4	Waveform 1	1	43.518338121	43.610972183	2248.330	2390.838	LAGCHIMU_20190725_190000_5min_cut.wav	43.5183	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190725_190000_5min_cut.wav
4	Spectrogram 1	1	43.518338121	43.610972183	2248.330	2390.838	LAGCHIMU_20190725_190000_5min_cut.wav	43.5183	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190725_190000_5min_cut.wav
