Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Begin Path
1	Spectrogram 1	1	151.977309139	152.010106295	2217.3	2461.0	SUKIA_20191203_000000_5min_cut.wav	151.9773	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
1	Selection Spectrum 1	1	151.977309139	152.010106295	2217.3	2461.0	SUKIA_20191203_000000_5min_cut.wav	151.9773	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
2	Spectrogram 1	1	155.359515808	155.404611897	2263.3	2403.1	SUKIA_20191203_000000_5min_cut.wav	155.3595	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
2	Selection Spectrum 1	1	155.359515808	155.404611897	2263.3	2403.1	SUKIA_20191203_000000_5min_cut.wav	155.3595	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
3	Spectrogram 1	1	159.937144399	159.965841910	2106.5	2478.1	SUKIA_20191203_000000_5min_cut.wav	159.9371	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
3	Selection Spectrum 1	1	159.937144399	159.965841910	2106.5	2478.1	SUKIA_20191203_000000_5min_cut.wav	159.9371	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
4	Spectrogram 1	1	161.548304667	161.585201467	2319.5	2556.5	SUKIA_20191203_000000_5min_cut.wav	161.5483	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
4	Selection Spectrum 1	1	161.548304667	161.585201467	2319.5	2556.5	SUKIA_20191203_000000_5min_cut.wav	161.5483	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
5	Spectrogram 1	1	163.179963157	163.220959601	2307.6	2522.4	SUKIA_20191203_000000_5min_cut.wav	163.1800	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
5	Selection Spectrum 1	1	163.179963157	163.220959601	2307.6	2522.4	SUKIA_20191203_000000_5min_cut.wav	163.1800	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
6	Spectrogram 1	1	169.543159872	169.588255961	2188.3	2401.3	SUKIA_20191203_000000_5min_cut.wav	169.5432	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
6	Selection Spectrum 1	1	169.543159872	169.588255961	2188.3	2401.3	SUKIA_20191203_000000_5min_cut.wav	169.5432	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
7	Spectrogram 1	1	172.453907430	172.499003519	2387.7	2563.3	SUKIA_20191203_000000_5min_cut.wav	172.4539	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
7	Selection Spectrum 1	1	172.453907430	172.499003519	2387.7	2563.3	SUKIA_20191203_000000_5min_cut.wav	172.4539	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
8	Spectrogram 1	1	174.540626454	174.569323965	2168.1	2365.6	SUKIA_20191203_000000_5min_cut.wav	174.5406	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
8	Selection Spectrum 1	1	174.540626454	174.569323965	2168.1	2365.6	SUKIA_20191203_000000_5min_cut.wav	174.5406	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
9	Spectrogram 1	1	177.605397099	177.638194254	2072.4	2290.6	SUKIA_20191203_000000_5min_cut.wav	177.6054	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
9	Selection Spectrum 1	1	177.605397099	177.638194254	2072.4	2290.6	SUKIA_20191203_000000_5min_cut.wav	177.6054	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
10	Spectrogram 1	1	181.204884923	181.241781723	2328.1	2517.3	SUKIA_20191203_000000_5min_cut.wav	181.2049	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
10	Selection Spectrum 1	1	181.204884923	181.241781723	2328.1	2517.3	SUKIA_20191203_000000_5min_cut.wav	181.2049	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
11	Spectrogram 1	1	187.005182245	187.062577267	2172.9	2309.3	SUKIA_20191203_000000_5min_cut.wav	187.0052	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
11	Selection Spectrum 1	1	187.005182245	187.062577267	2172.9	2309.3	SUKIA_20191203_000000_5min_cut.wav	187.0052	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
12	Spectrogram 1	1	262.219649346	262.256546146	2300.8	2508.7	SUKIA_20191203_000000_5min_cut.wav	262.2196	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
12	Selection Spectrum 1	1	262.219649346	262.256546146	2300.8	2508.7	SUKIA_20191203_000000_5min_cut.wav	262.2196	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
13	Spectrogram 1	1	270.846380020	270.907874686	2234.3	2403.1	SUKIA_20191203_000000_5min_cut.wav	270.8464	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
13	Selection Spectrum 1	1	270.846380020	270.907874686	2234.3	2403.1	SUKIA_20191203_000000_5min_cut.wav	270.8464	C:\Users\JORGE\Documents\Asistencia CIN\Proyecto Agalychnis Lemur\Grabaciones\SUKIA_20191203_000000_5min_cut.wav
