Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File
1	Waveform 1	1	22.219762793	22.267949579	2185.7	2526.2	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200127_200000_5min_cut.wav	22.2198	SUKIA_20200127_200000_5min_cut.wav
1	Spectrogram 1	1	22.219762793	22.267949579	2185.7	2526.2	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200127_200000_5min_cut.wav	22.2198	SUKIA_20200127_200000_5min_cut.wav
1	Selection Spectrum 1	1	22.219762793	22.267949579	2185.7	2526.2	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200127_200000_5min_cut.wav	22.2198	SUKIA_20200127_200000_5min_cut.wav
2	Waveform 1	1	28.020335514	28.109825260	2153.3	2412.7	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200127_200000_5min_cut.wav	28.0203	SUKIA_20200127_200000_5min_cut.wav
2	Spectrogram 1	1	28.020335514	28.109825260	2153.3	2412.7	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200127_200000_5min_cut.wav	28.0203	SUKIA_20200127_200000_5min_cut.wav
2	Selection Spectrum 1	1	28.020335514	28.109825260	2153.3	2412.7	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200127_200000_5min_cut.wav	28.0203	SUKIA_20200127_200000_5min_cut.wav
3	Waveform 1	1	28.123592914	28.240617967	2234.3	2526.2	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200127_200000_5min_cut.wav	28.1236	SUKIA_20200127_200000_5min_cut.wav
3	Spectrogram 1	1	28.123592914	28.240617967	2234.3	2526.2	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200127_200000_5min_cut.wav	28.1236	SUKIA_20200127_200000_5min_cut.wav
3	Selection Spectrum 1	1	28.123592914	28.240617967	2234.3	2526.2	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200127_200000_5min_cut.wav	28.1236	SUKIA_20200127_200000_5min_cut.wav
4	Waveform 1	1	35.100909095	35.155979709	2185.7	2574.8	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200127_200000_5min_cut.wav	35.1009	SUKIA_20200127_200000_5min_cut.wav
4	Spectrogram 1	1	35.100909095	35.155979709	2185.7	2574.8	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200127_200000_5min_cut.wav	35.1009	SUKIA_20200127_200000_5min_cut.wav
