Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File
1	Waveform 1	1	2.564613946	2.663163872	2177.8	2458.4	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200123_030000_5min_cut.wav	2.5646	SUKIA_20200123_030000_5min_cut.wav
1	Spectrogram 1	1	2.564613946	2.663163872	2177.8	2458.4	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200123_030000_5min_cut.wav	2.5646	SUKIA_20200123_030000_5min_cut.wav
1	Selection Spectrum 1	1	2.564613946	2.663163872	2177.8	2458.4	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200123_030000_5min_cut.wav	2.5646	SUKIA_20200123_030000_5min_cut.wav
2	Waveform 1	1	5.481691777	5.573671709	2210.8	2562.3	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200123_030000_5min_cut.wav	5.4817	SUKIA_20200123_030000_5min_cut.wav
2	Spectrogram 1	1	5.481691777	5.573671709	2210.8	2562.3	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200123_030000_5min_cut.wav	5.4817	SUKIA_20200123_030000_5min_cut.wav
2	Selection Spectrum 1	1	5.481691777	5.573671709	2210.8	2562.3	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200123_030000_5min_cut.wav	5.4817	SUKIA_20200123_030000_5min_cut.wav
3	Waveform 1	1	108.788059335	108.886609262	2158.6	2568.1	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200123_030000_5min_cut.wav	108.7881	SUKIA_20200123_030000_5min_cut.wav
3	Spectrogram 1	1	108.788059335	108.886609262	2158.6	2568.1	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200123_030000_5min_cut.wav	108.7881	SUKIA_20200123_030000_5min_cut.wav
3	Selection Spectrum 1	1	108.788059335	108.886609262	2158.6	2568.1	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200123_030000_5min_cut.wav	108.7881	SUKIA_20200123_030000_5min_cut.wav
4	Waveform 1	1	113.639204737	113.698334693	2125.5	2402.4	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200123_030000_5min_cut.wav	113.6392	SUKIA_20200123_030000_5min_cut.wav
4	Spectrogram 1	1	113.639204737	113.698334693	2125.5	2402.4	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200123_030000_5min_cut.wav	113.6392	SUKIA_20200123_030000_5min_cut.wav
4	Selection Spectrum 1	1	113.639204737	113.698334693	2125.5	2402.4	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200123_030000_5min_cut.wav	113.6392	SUKIA_20200123_030000_5min_cut.wav
5	Waveform 1	1	113.724614674	113.816594605	2125.5	2458.9	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200123_030000_5min_cut.wav	113.7246	SUKIA_20200123_030000_5min_cut.wav
