Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File
2	Waveform 1	1	18.579743196	18.655394954	2106.5	2298.1	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	18.5797	LAGCHIMU_20200114_000000_5min_cut.wav
2	Spectrogram 1	1	18.579743196	18.655394954	2106.5	2298.1	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	18.5797	LAGCHIMU_20200114_000000_5min_cut.wav
2	Selection Spectrum 1	1	18.579743196	18.655394954	2106.5	2298.1	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	18.5797	LAGCHIMU_20200114_000000_5min_cut.wav
3	Waveform 1	1	125.403266164	125.468270006	2092.3	2302.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	125.4033	LAGCHIMU_20200114_000000_5min_cut.wav
3	Spectrogram 1	1	125.403266164	125.468270006	2092.3	2302.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	125.4033	LAGCHIMU_20200114_000000_5min_cut.wav
3	Selection Spectrum 1	1	125.403266164	125.468270006	2092.3	2302.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	125.4033	LAGCHIMU_20200114_000000_5min_cut.wav
4	Waveform 1	1	131.682543956	131.718657201	2323.7	2555.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	131.6825	LAGCHIMU_20200114_000000_5min_cut.wav
4	Spectrogram 1	1	131.682543956	131.718657201	2323.7	2555.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	131.6825	LAGCHIMU_20200114_000000_5min_cut.wav
4	Selection Spectrum 1	1	131.682543956	131.718657201	2323.7	2555.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	131.6825	LAGCHIMU_20200114_000000_5min_cut.wav
7	Waveform 1	1	246.957214681	247.014995874	2088.5	2343.3	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	246.9572	LAGCHIMU_20200114_000000_5min_cut.wav
7	Spectrogram 1	1	246.957214681	247.014995874	2088.5	2343.3	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	246.9572	LAGCHIMU_20200114_000000_5min_cut.wav
7	Selection Spectrum 1	1	246.957214681	247.014995874	2088.5	2343.3	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	246.9572	LAGCHIMU_20200114_000000_5min_cut.wav
8	Waveform 1	1	252.039277131	252.082613025	2071.5	2281.6	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	252.0393	LAGCHIMU_20200114_000000_5min_cut.wav
8	Spectrogram 1	1	252.039277131	252.082613025	2071.5	2281.6	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	252.0393	LAGCHIMU_20200114_000000_5min_cut.wav
8	Selection Spectrum 1	1	252.039277131	252.082613025	2071.5	2281.6	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	252.0393	LAGCHIMU_20200114_000000_5min_cut.wav
9	Waveform 1	1	255.157391727	255.215172921	2084.2	2302.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	255.1574	LAGCHIMU_20200114_000000_5min_cut.wav
9	Spectrogram 1	1	255.157391727	255.215172921	2084.2	2302.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	255.1574	LAGCHIMU_20200114_000000_5min_cut.wav
9	Selection Spectrum 1	1	255.157391727	255.215172921	2084.2	2302.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200114_000000_5min_cut.wav	255.1574	LAGCHIMU_20200114_000000_5min_cut.wav
