Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File
1	Waveform 1	1	0.747492848	0.794018895	1922.9	2289.3	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	0.7475	SUKIA_20200117_040000_5min_cut.wav
1	Spectrogram 1	1	0.747492848	0.794018895	1922.9	2289.3	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	0.7475	SUKIA_20200117_040000_5min_cut.wav
1	Selection Spectrum 1	1	0.747492848	0.794018895	1922.9	2289.3	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	0.7475	SUKIA_20200117_040000_5min_cut.wav
2	Waveform 1	1	4.242762171	4.283472462	2290.3	2627.1	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	4.2428	SUKIA_20200117_040000_5min_cut.wav
2	Spectrogram 1	1	4.242762171	4.283472462	2290.3	2627.1	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	4.2428	SUKIA_20200117_040000_5min_cut.wav
2	Selection Spectrum 1	1	4.242762171	4.283472462	2290.3	2627.1	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	4.2428	SUKIA_20200117_040000_5min_cut.wav
3	Waveform 1	1	6.888343920	6.952317235	2305.2	2560.2	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	6.8883	SUKIA_20200117_040000_5min_cut.wav
3	Spectrogram 1	1	6.888343920	6.952317235	2305.2	2560.2	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	6.8883	SUKIA_20200117_040000_5min_cut.wav
3	Selection Spectrum 1	1	6.888343920	6.952317235	2305.2	2560.2	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	6.8883	SUKIA_20200117_040000_5min_cut.wav
4	Waveform 1	1	10.544968658	10.603126218	2082.2	2273.4	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	10.5450	SUKIA_20200117_040000_5min_cut.wav
4	Spectrogram 1	1	10.544968658	10.603126218	2082.2	2273.4	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	10.5450	SUKIA_20200117_040000_5min_cut.wav
4	Selection Spectrum 1	1	10.544968658	10.603126218	2082.2	2273.4	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	10.5450	SUKIA_20200117_040000_5min_cut.wav
5	Waveform 1	1	16.255922718	16.348974813	2161.8	2400.8	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	16.2559	SUKIA_20200117_040000_5min_cut.wav
5	Spectrogram 1	1	16.255922718	16.348974813	2161.8	2400.8	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	16.2559	SUKIA_20200117_040000_5min_cut.wav
5	Selection Spectrum 1	1	16.255922718	16.348974813	2161.8	2400.8	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	16.2559	SUKIA_20200117_040000_5min_cut.wav
6	Waveform 1	1	17.692414436	17.744756239	2145.9	2464.6	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200117_040000_5min_cut.wav	17.6924	SUKIA_20200117_040000_5min_cut.wav
