Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File
1	Waveform 1	1	3.747671687	3.834962176	2382.3	2653.1	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	3.7477	SUKIA_20200108_200000_5min_cut.wav
1	Spectrogram 1	1	3.747671687	3.834962176	2382.3	2653.1	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	3.7477	SUKIA_20200108_200000_5min_cut.wav
1	Selection Spectrum 1	1	3.747671687	3.834962176	2382.3	2653.1	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	3.7477	SUKIA_20200108_200000_5min_cut.wav
2	Waveform 1	1	7.384775420	7.466246544	2223.0	2605.3	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	7.3848	SUKIA_20200108_200000_5min_cut.wav
2	Spectrogram 1	1	7.384775420	7.466246544	2223.0	2605.3	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	7.3848	SUKIA_20200108_200000_5min_cut.wav
2	Selection Spectrum 1	1	7.384775420	7.466246544	2223.0	2605.3	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	7.3848	SUKIA_20200108_200000_5min_cut.wav
3	Waveform 1	1	10.810671322	10.857226250	2318.6	2573.5	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	10.8107	SUKIA_20200108_200000_5min_cut.wav
3	Spectrogram 1	1	10.810671322	10.857226250	2318.6	2573.5	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	10.8107	SUKIA_20200108_200000_5min_cut.wav
3	Selection Spectrum 1	1	10.810671322	10.857226250	2318.6	2573.5	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	10.8107	SUKIA_20200108_200000_5min_cut.wav
4	Waveform 1	1	11.247123770	11.299498064	2409.0	2621.3	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	11.2471	SUKIA_20200108_200000_5min_cut.wav
4	Spectrogram 1	1	11.247123770	11.299498064	2409.0	2621.3	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	11.2471	SUKIA_20200108_200000_5min_cut.wav
4	Selection Spectrum 1	1	11.247123770	11.299498064	2409.0	2621.3	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	11.2471	SUKIA_20200108_200000_5min_cut.wav
5	Waveform 1	1	14.296471540	14.354665200	2154.0	2395.3	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	14.2965	SUKIA_20200108_200000_5min_cut.wav
5	Spectrogram 1	1	14.296471540	14.354665200	2154.0	2395.3	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	14.2965	SUKIA_20200108_200000_5min_cut.wav
5	Selection Spectrum 1	1	14.296471540	14.354665200	2154.0	2395.3	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	14.2965	SUKIA_20200108_200000_5min_cut.wav
7	Waveform 1	1	21.053782128	21.141072618	2334.5	2541.6	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	21.0538	SUKIA_20200108_200000_5min_cut.wav
7	Spectrogram 1	1	21.053782128	21.141072618	2334.5	2541.6	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	21.0538	SUKIA_20200108_200000_5min_cut.wav
7	Selection Spectrum 1	1	21.053782128	21.141072618	2334.5	2541.6	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	21.0538	SUKIA_20200108_200000_5min_cut.wav
8	Waveform 1	1	24.068213702	24.161323558	2140.4	2326.8	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	24.0682	SUKIA_20200108_200000_5min_cut.wav
8	Spectrogram 1	1	24.068213702	24.161323558	2140.4	2326.8	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	24.0682	SUKIA_20200108_200000_5min_cut.wav
8	Selection Spectrum 1	1	24.068213702	24.161323558	2140.4	2326.8	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	24.0682	SUKIA_20200108_200000_5min_cut.wav
9	Waveform 1	1	26.832412539	26.913883663	2223.0	2541.6	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	26.8324	SUKIA_20200108_200000_5min_cut.wav
9	Spectrogram 1	1	26.832412539	26.913883663	2223.0	2541.6	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	26.8324	SUKIA_20200108_200000_5min_cut.wav
9	Selection Spectrum 1	1	26.832412539	26.913883663	2223.0	2541.6	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	26.8324	SUKIA_20200108_200000_5min_cut.wav
10	Waveform 1	1	34.719160276	34.794812034	2350.4	2573.5	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	34.7192	SUKIA_20200108_200000_5min_cut.wav
10	Spectrogram 1	1	34.719160276	34.794812034	2350.4	2573.5	D:\UCR\Bioacústica\Lemur_files_4\SUKIA_20200108_200000_5min_cut.wav	34.7192	SUKIA_20200108_200000_5min_cut.wav
