Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File
1	Waveform 1	1	6.913406776	6.959961704	2391.8	2658.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	6.9134	SUKIA_20190826_190000_5min_cut.wav
1	Spectrogram 1	1	6.913406776	6.959961704	2391.8	2658.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	6.9134	SUKIA_20190826_190000_5min_cut.wav
1	Selection Spectrum 1	1	6.913406776	6.959961704	2391.8	2658.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	6.9134	SUKIA_20190826_190000_5min_cut.wav
2	Waveform 1	1	29.830482951	29.882857245	2292.6	2593.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	29.8305	SUKIA_20190826_190000_5min_cut.wav
2	Spectrogram 1	1	29.830482951	29.882857245	2292.6	2593.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	29.8305	SUKIA_20190826_190000_5min_cut.wav
2	Selection Spectrum 1	1	29.830482951	29.882857245	2292.6	2593.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	29.8305	SUKIA_20190826_190000_5min_cut.wav
4	Waveform 1	1	35.655671222	35.713864881	2012.0	2539.0	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	35.6557	SUKIA_20190826_190000_5min_cut.wav
4	Spectrogram 1	1	35.655671222	35.713864881	2012.0	2539.0	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	35.6557	SUKIA_20190826_190000_5min_cut.wav
4	Selection Spectrum 1	1	35.655671222	35.713864881	2012.0	2539.0	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	35.6557	SUKIA_20190826_190000_5min_cut.wav
5	Waveform 1	1	42.335546614	42.370462810	2343.9	2518.4	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	42.3355	SUKIA_20190826_190000_5min_cut.wav
5	Spectrogram 1	1	42.335546614	42.370462810	2343.9	2518.4	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	42.3355	SUKIA_20190826_190000_5min_cut.wav
5	Selection Spectrum 1	1	42.335546614	42.370462810	2343.9	2518.4	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	42.3355	SUKIA_20190826_190000_5min_cut.wav
6	Waveform 1	1	51.597456259	51.725482310	2306.3	2508.2	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	51.5975	SUKIA_20190826_190000_5min_cut.wav
6	Spectrogram 1	1	51.597456259	51.725482310	2306.3	2508.2	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	51.5975	SUKIA_20190826_190000_5min_cut.wav
6	Selection Spectrum 1	1	51.597456259	51.725482310	2306.3	2508.2	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	51.5975	SUKIA_20190826_190000_5min_cut.wav
7	Waveform 1	1	45.487121987	45.615148038	2320.0	2569.8	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	45.4871	SUKIA_20190826_190000_5min_cut.wav
7	Spectrogram 1	1	45.487121987	45.615148038	2320.0	2569.8	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	45.4871	SUKIA_20190826_190000_5min_cut.wav
7	Selection Spectrum 1	1	45.487121987	45.615148038	2320.0	2569.8	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	45.4871	SUKIA_20190826_190000_5min_cut.wav
8	Waveform 1	1	45.999226193	46.103974780	2371.3	2542.4	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	45.9992	SUKIA_20190826_190000_5min_cut.wav
8	Spectrogram 1	1	45.999226193	46.103974780	2371.3	2542.4	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	45.9992	SUKIA_20190826_190000_5min_cut.wav
8	Selection Spectrum 1	1	45.999226193	46.103974780	2371.3	2542.4	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	45.9992	SUKIA_20190826_190000_5min_cut.wav
9	Waveform 1	1	63.527150929	63.608622053	2357.6	2627.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	63.5272	SUKIA_20190826_190000_5min_cut.wav
9	Spectrogram 1	1	63.527150929	63.608622053	2357.6	2627.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	63.5272	SUKIA_20190826_190000_5min_cut.wav
9	Selection Spectrum 1	1	63.527150929	63.608622053	2357.6	2627.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	63.5272	SUKIA_20190826_190000_5min_cut.wav
10	Waveform 1	1	92.756255727	92.884281778	2210.5	2593.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	92.7563	SUKIA_20190826_190000_5min_cut.wav
10	Spectrogram 1	1	92.756255727	92.884281778	2210.5	2593.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	92.7563	SUKIA_20190826_190000_5min_cut.wav
10	Selection Spectrum 1	1	92.756255727	92.884281778	2210.5	2593.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	92.7563	SUKIA_20190826_190000_5min_cut.wav
11	Waveform 1	1	111.163432897	111.244904021	2324.7	2561.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	111.1634	SUKIA_20190826_190000_5min_cut.wav
11	Spectrogram 1	1	111.163432897	111.244904021	2324.7	2561.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	111.1634	SUKIA_20190826_190000_5min_cut.wav
11	Selection Spectrum 1	1	111.163432897	111.244904021	2324.7	2561.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	111.1634	SUKIA_20190826_190000_5min_cut.wav
12	Waveform 1	1	111.594065979	111.652259639	2290.9	2711.8	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	111.5941	SUKIA_20190826_190000_5min_cut.wav
12	Spectrogram 1	1	111.594065979	111.652259639	2290.9	2711.8	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	111.5941	SUKIA_20190826_190000_5min_cut.wav
12	Selection Spectrum 1	1	111.594065979	111.652259639	2290.9	2711.8	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	111.5941	SUKIA_20190826_190000_5min_cut.wav
13	Waveform 1	1	118.367807972	118.472556559	2025.7	2634.8	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	118.3678	SUKIA_20190826_190000_5min_cut.wav
13	Spectrogram 1	1	118.367807972	118.472556559	2025.7	2634.8	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	118.3678	SUKIA_20190826_190000_5min_cut.wav
13	Selection Spectrum 1	1	118.367807972	118.472556559	2025.7	2634.8	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	118.3678	SUKIA_20190826_190000_5min_cut.wav
14	Waveform 1	1	120.323114939	120.381308598	2268.6	2802.4	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190826_190000_5min_cut.wav	120.3231	SUKIA_20190826_190000_5min_cut.wav
